Dataset,Mode,Frames,MeanInlier,BadFrames,MeanResidual,MeanSteps,TotalRuntime
Downtown,strict,1228,0.13262535830618893,113,0.04615527687296417,1.0,337.01700000000005
Downtown,standard,1125,0.07981718222222223,295,0.07812299555555555,1.0,390.16478
Downtown,loose,1125,0.021057866666666668,925,0.09425177777777778,1.0,822.47092
Hospital,strict,2012,0.06676206262425446,436,0.06834769880715706,1.0,788.98696
Hospital,standard,2012,0.050571933399602385,534,0.07631582007952285,1.0,1045.36426
Hospital,loose,2012,0.0657046421471173,678,0.07781323558648111,1.0,817.68602
OldScandinavia,strict,2931,0.04665030365063118,1401,0.04815374616171956,1.0,533.1048900000001
OldScandinavia,standard,2931,0.03625521664960765,1151,0.07084122142613442,1.0,799.54685
OldScandinavia,loose,2931,0.01654003752985329,1856,0.1358413578983282,1.0,1960.4212699999998
OldTownFall,strict,806,0.05474689826302729,114,0.061789590570719595,1.0,297.94985999999994
OldTownFall,standard,806,0.03471303970223325,203,0.11896725806451612,1.0,524.1864499999999
OldTownFall,loose,806,0.015569913151364766,464,0.20428143920595535,1.0,878.60781
SeasonalForestAutumn,strict,1588,0.11628562342569268,131,0.08371624685138539,1.0,351.23073999999997
SeasonalForestAutumn,standard,1588,0.09996894206549117,272,0.10982287153652392,1.0,472.72105000000005
SeasonalForestAutumn,loose,1588,0.024975094458438287,843,0.15561447732997483,1.0,1211.9877900000001
SeasonalForestSpring,strict,2367,0.09509666244190959,127,0.08790286016054076,1.0,516.9200099999999
SeasonalForestSpring,standard,2367,0.09175476130122519,264,0.1256900929446557,1.0,673.38715
SeasonalForestSpring,loose,2367,0.03356492184199409,1094,0.17037066751161806,1.0,1527.5427599999998
SeasonalForestWinterNight,strict,2602,0.10310451575710992,163,0.08920282475019216,1.0,502.32635000000005
SeasonalForestWinterNight,standard,2602,0.09038434665641815,219,0.11855641045349732,1.0,534.397
SeasonalForestWinterNight,loose,2602,0.04743666410453498,1022,0.11748785549577248,1.0,1030.66093
Sewerage,strict,1045,0.054928344497607653,223,0.10779995215311004,1.0,325.61989
Sewerage,standard,1045,0.03682064114832536,357,0.13409840191387562,1.0,506.32975
Sewerage,loose,1045,0.02086929186602871,541,0.13590683253588517,1.0,769.7724700000001
Supermarket,strict,761,0.04549831800262812,245,0.06214867279894875,1.0,260.32356
Supermarket,standard,761,0.043411629434954004,114,0.07192997371879108,1.0,516.8248100000001
Supermarket,loose,761,0.01387407358738502,388,0.021921984231274637,1.0,1158.33458
Office,strict,678,0.07892094395280236,41,0.036387669616519173,1.0,524.18868
Office,standard,678,0.06119929203539823,94,0.0422511209439528,1.0,600.81098
Office,loose,678,0.044594159292035404,394,0.059103672566371675,1.0,684.4226799999999
